Operation, num1, num2, entity1, entity2, raw_cost, v1_cost, v2_cost, unmatch_cost, Entity_type, change?
ns,114,115,public void CheckEntryTypeVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),public void CheckEntryTypeVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),0,0,0,87,Method,0
ns,115,116,public bool CheckEntryTypeVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),public bool CheckEntryTypeVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),0,0,0,104,Method,0
ns,116,117,public bool CheckEntryTypeVisitor.isOk( ),public bool CheckEntryTypeVisitor.isOk( ),0,0,0,104,Method,0
ns,117,118,ClosureVarInfo,ClosureVarInfo,0,0,10,188,Class,0
ns,118,119,public  ClosureVarInfo.ClosureVarInfo( ClosureVarInfo & ),public  ClosureVarInfo.ClosureVarInfo( ClosureVarInfo & ),0,10,0,86,Method,0
ns,119,120,public  ClosureVarInfo.ClosureVarInfo( void ),public  ClosureVarInfo.ClosureVarInfo( void ),0,0,0,87,Method,0
ns,120,121,public ProblemType ClosureVarInfo.callDepth,public ProblemType ClosureVarInfo.callDepth,0,0,0,87,Field,0
ns,121,122,public static final ProblemType ClosureVarInfo.id,public static final ProblemType ClosureVarInfo.id,0,0,0,87,Field,0
ns,122,123,public ProblemType ClosureVarInfo.resolveFlags,public ProblemType ClosureVarInfo.resolveFlags,0,0,0,87,Field,0
ns,123,124,public ProblemType ClosureVarInfo.slot,public ProblemType ClosureVarInfo.slot,0,0,0,87,Field,0
ns,124,125,CountSlotsVisitor,CountSlotsVisitor,0,0,10,239,Class,0
ns,125,126,public  CountSlotsVisitor.CountSlotsVisitor( CountSlotsVisitor & ),public  CountSlotsVisitor.CountSlotsVisitor( CountSlotsVisitor & ),0,10,0,86,Method,0
ns,126,127,public ProblemType CountSlotsVisitor.CountSlotsVisitor( ProblemType * ),public ProblemType CountSlotsVisitor.CountSlotsVisitor( ProblemType * ),0,0,0,87,Method,0
ns,127,128,public  CountSlotsVisitor.CountSlotsVisitor( void ),public  CountSlotsVisitor.CountSlotsVisitor( void ),0,0,0,87,Method,0
ns,128,129,private ProblemType CountSlotsVisitor.mStop,private ProblemType CountSlotsVisitor.mStop,0,0,10,86,Field,0
ns,129,130,public bool CountSlotsVisitor.mDone,public bool CountSlotsVisitor.mDone,0,10,0,103,Field,0
ns,130,131,public void CountSlotsVisitor.count( ),public void CountSlotsVisitor.count( ),0,0,0,87,Method,0
ns,131,132,public void CountSlotsVisitor.stopped( ),public void CountSlotsVisitor.stopped( ),0,0,0,87,Method,0
ns,132,133,public unsigned int CountSlotsVisitor.mCount,public unsigned int CountSlotsVisitor.mCount,0,0,0,87,Field,0
ns,133,134,public bool CountSlotsVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),public bool CountSlotsVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),0,0,10,103,Method,0
ns,134,135,DeadScript,DeadScript,0,10,10,169,Class,0
ns,135,136,public  DeadScript.DeadScript( DeadScript & ),public  DeadScript.DeadScript( DeadScript & ),0,10,0,86,Method,0
ns,136,137,public  DeadScript.DeadScript( void ),public  DeadScript.DeadScript( void ),0,0,0,87,Method,0
ns,137,138,public ProblemType DeadScript.jsdc,public ProblemType DeadScript.jsdc,0,0,0,87,Field,0
ns,138,139,public ProblemType DeadScript.links,public ProblemType DeadScript.links,0,0,0,87,Field,0
ns,139,140,public ProblemType DeadScript.script,public ProblemType DeadScript.script,0,0,10,86,Field,0
ns,140,141,DeadScript.gDeadScripts,DeadScript.gDeadScripts,0,10,0,86,Class,0
ns,141,142,DefaultSlotMap,DefaultSlotMap,0,0,10,154,Class,0
ns,142,143,public  DefaultSlotMap.DefaultSlotMap( DefaultSlotMap & ),public  DefaultSlotMap.DefaultSlotMap( DefaultSlotMap & ),0,10,0,86,Method,0
ns,143,144,public  DefaultSlotMap.DefaultSlotMap( ProblemType & ),public  DefaultSlotMap.DefaultSlotMap( ProblemType & ),0,0,0,87,Method,0
ns,144,145,public bool DefaultSlotMap.visitStackSlots( ProblemType * ProblemType ProblemType * ),public bool DefaultSlotMap.visitStackSlots( ProblemType * ProblemType ProblemType * ),0,0,0,104,Method,0
ns,145,146,DetermineTypesVisitor,DetermineTypesVisitor,0,0,10,222,Class,0
ns,146,147,public  DetermineTypesVisitor.DetermineTypesVisitor( DetermineTypesVisitor & ),public  DetermineTypesVisitor.DetermineTypesVisitor( DetermineTypesVisitor & ),0,10,0,86,Method,0
ns,147,148,public  DetermineTypesVisitor.DetermineTypesVisitor( ProblemType & ProblemType * ),public  DetermineTypesVisitor.DetermineTypesVisitor( ProblemType & ProblemType * ),0,0,0,87,Method,0
ns,148,149,private ProblemType DetermineTypesVisitor.mRecorder,private ProblemType DetermineTypesVisitor.mRecorder,0,0,0,87,Field,0
ns,149,150,private ProblemType DetermineTypesVisitor.mTypeMap,private ProblemType DetermineTypesVisitor.mTypeMap,0,0,0,87,Field,0
ns,150,151,public void DetermineTypesVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),public void DetermineTypesVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),0,0,0,87,Method,0
