"class","category"
DummyForGlobalFunctions.Available(),"Method"
DummyForGlobalFunctions.AwaitingSyncReply(),"Method"
DummyForGlobalFunctions.BEGIN_CASE(ProblemType),"Method"
DummyForGlobalFunctions.BackPatch(ProblemType *,ProblemType *,ProblemType,ProblemType *,ProblemType),"Method"
DummyForGlobalFunctions.Backoff(ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.BalanceJumpTargets(ProblemType * *),"Method"
DummyForGlobalFunctions.BeginCycleCollection(),"Method"
DummyForGlobalFunctions.BeginLineReflow(),"Method"
DummyForGlobalFunctions.BeginReading(),"Method"
DummyForGlobalFunctions.BeginTransaction(),"Method"
DummyForGlobalFunctions.BeginTransactionWithTarget(),"Method"
DummyForGlobalFunctions.BeginUpdatingRetainedLayers(),"Method"
DummyForGlobalFunctions.BeginWriting(),"Method"
DummyForGlobalFunctions.BindNameToSlot(),"Method"
DummyForGlobalFunctions.Blacklist(ProblemType *),"Method"
DummyForGlobalFunctions.BlockBorderBackgrounds(),"Method"
DummyForGlobalFunctions.BlockHasAnyFloats(nsIFrame *),"Method"
DummyForGlobalFunctions.BlockIsMarginRoot(),"Method"
DummyForGlobalFunctions.BlockOnParent(),"Method"
DummyForGlobalFunctions.Blocks(),"Method"
DummyForGlobalFunctions.BorderPadding(),"Method"
DummyForGlobalFunctions.BottomLayer(),"Method"
DummyForGlobalFunctions.BuildContainerLayerFor(),"Method"
DummyForGlobalFunctions.BuildDisplayListForChild(),"Method"
DummyForGlobalFunctions.BuildDisplayListForStackingContext(),"Method"
DummyForGlobalFunctions.BuildGlobalTypeMapFromInnerTree(ProblemType &,ProblemType *),"Method"
DummyForGlobalFunctions.BuildSpanDepTable(ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.BumpGeneration(),"Method"
DummyForGlobalFunctions.CATCHNOTE(),"Method"
DummyForGlobalFunctions.CERT_DecodeAltNameExtension(),"Method"
DummyForGlobalFunctions.CERT_DerNameToAscii(),"Method"
DummyForGlobalFunctions.CERT_DestroyCertList(),"Method"
DummyForGlobalFunctions.CERT_DestroyCertificate(),"Method"
DummyForGlobalFunctions.CERT_DupCertificate(),"Method"
DummyForGlobalFunctions.CERT_FilterCertListByCANames(),"Method"
DummyForGlobalFunctions.CERT_FindCertExtension(),"Method"
DummyForGlobalFunctions.CERT_FindKeyUsageExtension(),"Method"
DummyForGlobalFunctions.CERT_FindUserCertsByUsage(),"Method"
DummyForGlobalFunctions.CERT_FreeNicknames(),"Method"
DummyForGlobalFunctions.CERT_GetCommonName(),"Method"
DummyForGlobalFunctions.CERT_GetNextGeneralName(),"Method"
DummyForGlobalFunctions.CERT_GetOrgName(),"Method"
DummyForGlobalFunctions.CERT_LIST_END(),"Method"
DummyForGlobalFunctions.CERT_LIST_HEAD(),"Method"
DummyForGlobalFunctions.CERT_LIST_NEXT(),"Method"
DummyForGlobalFunctions.CERT_VerifyCertName(),"Method"
DummyForGlobalFunctions.CERT_VerifyCertificate(),"Method"
DummyForGlobalFunctions.CFDictionaryGetValue(),"Method"
DummyForGlobalFunctions.CFPropertyListCreateFromXMLData(),"Method"
DummyForGlobalFunctions.CFRelease(),"Method"
DummyForGlobalFunctions.CFSTR(),"Method"
DummyForGlobalFunctions.CFURLCreateDataAndPropertiesFromResource(),"Method"
DummyForGlobalFunctions.CFURLCreateWithFileSystemPath(),"Method"
DummyForGlobalFunctions.CFUUIDCreate(),"Method"
DummyForGlobalFunctions.CFUUIDCreateString(),"Method"
DummyForGlobalFunctions.CG_BASE(),"Method"
DummyForGlobalFunctions.CG_CODE(),"Method"
DummyForGlobalFunctions.CG_CURRENT_LINE(),"Method"
DummyForGlobalFunctions.CG_LAST_NOTE_OFFSET(),"Method"
DummyForGlobalFunctions.CG_LIMIT(),"Method"
DummyForGlobalFunctions.CG_NEXT(),"Method"
DummyForGlobalFunctions.CG_NOTES(),"Method"
DummyForGlobalFunctions.CG_NOTE_COUNT(),"Method"
DummyForGlobalFunctions.CG_NOTE_MASK(),"Method"
DummyForGlobalFunctions.CG_OFFSET(),"Method"
DummyForGlobalFunctions.CG_PROLOG_OFFSET(),"Method"
DummyForGlobalFunctions.CG_SWITCH_TO_MAIN(),"Method"
DummyForGlobalFunctions.CG_SWITCH_TO_PROLOG(),"Method"
DummyForGlobalFunctions.CHECK_AND_SET_JUMP_OFFSET(),"Method"
DummyForGlobalFunctions.CHECK_AND_SET_JUMP_OFFSET_AT(),"Method"
DummyForGlobalFunctions.CHECK_INTERRUPT_HANDLER(),"Method"
DummyForGlobalFunctions.COMMON_ATOMS_START(),"Method"
DummyForGlobalFunctions.CacheOpportunistically(),"Method"
DummyForGlobalFunctions.CachedIsEmpty(),"Method"
DummyForGlobalFunctions.CalculateContainingBlockSizeForAbsolutes(ProblemType &,ProblemType),"Method"
DummyForGlobalFunctions.CalculateStackSize(),"Method"
DummyForGlobalFunctions.CallCreateInstance(),"Method"
DummyForGlobalFunctions.CallGetService(),"Method"
DummyForGlobalFunctions.CallIteratorNext(ProblemType *,ProblemType,ProblemType *),"Method"
DummyForGlobalFunctions.CallOnStartRequest(),"Method"
DummyForGlobalFunctions.CallQueryInterface(),"Method"
DummyForGlobalFunctions.CallTypeSniffers(void *,ProblemType *,ProblemType),"Method"
DummyForGlobalFunctions.CanLoadResource(nsIURI *),"Method"
DummyForGlobalFunctions.Cancel(),"Method"
DummyForGlobalFunctions.CancelReflowCallback(),"Method"
DummyForGlobalFunctions.CancelTransaction(),"Method"
DummyForGlobalFunctions.CanvasArea(),"Method"
DummyForGlobalFunctions.CaseInsensitiveFindInReadable(),"Method"
DummyForGlobalFunctions.Challenge(),"Method"
DummyForGlobalFunctions.ChallengeReceived(),"Method"
DummyForGlobalFunctions.CharAt(),"Method"
DummyForGlobalFunctions.CheckCache(),"Method"
DummyForGlobalFunctions.CheckFlag(ProblemType &,ProblemType &,ProblemType &),"Method"
DummyForGlobalFunctions.CheckFloats(),"Method"
DummyForGlobalFunctions.CheckForCollapsedBottomMarginFromClearanceLine(),"Method"
DummyForGlobalFunctions.CheckForNewChrome(),"Method"
DummyForGlobalFunctions.CheckForSuperfluousAuth(),"Method"
DummyForGlobalFunctions.CheckGlobalObjectShape(),"Method"
DummyForGlobalFunctions.CheckInvalidateSizeChange(),"Method"
DummyForGlobalFunctions.CheckPlaceholderInLine(nsIFrame *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.CheckSideEffects(ProblemType *,ProblemType *,ProblemType *,ProblemType *),"Method"
DummyForGlobalFunctions.CheckStringFlag(ProblemType &,ProblemType &,ProblemType &),"Method"
DummyForGlobalFunctions.CheckVersionFlag(ProblemType &,ProblemType &,ProblemType &,ProblemType *),"Method"
DummyForGlobalFunctions.ChildrenCanBeInactive(),"Method"
DummyForGlobalFunctions.ChooseApplicationCache(),"Method"
DummyForGlobalFunctions.ChooseCertificate(),"Method"
DummyForGlobalFunctions.Clear(),"Method"
DummyForGlobalFunctions.ClearAllBreakpoints(),"Method"
DummyForGlobalFunctions.ClearAuthEntry(),"Method"
DummyForGlobalFunctions.ClearBogusContentEncodingIfNeeded(),"Method"
DummyForGlobalFunctions.ClearDirty(),"Method"
DummyForGlobalFunctions.ClearFilters(),"Method"
DummyForGlobalFunctions.ClearFloats(),"Method"
DummyForGlobalFunctions.ClearHasClearance(),"Method"
DummyForGlobalFunctions.ClearHeader(),"Method"
DummyForGlobalFunctions.ClearLineCursor(),"Method"
DummyForGlobalFunctions.ClearOptionalBreakPosition(),"Method"
DummyForGlobalFunctions.ClearPreviousMarginDirty(),"Method"
DummyForGlobalFunctions.Clone(),"Method"
DummyForGlobalFunctions.CloseOfflineCacheEntry(),"Method"
